meserie,anunturi,anunturi_baza_nedeclarata,lunar_explicit,lunar_presupus,angajatori,judete,platforme,status,lipsuri
programator,5,8,5,0,5,0,2,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|too_few_explicit_monthly
web-developer,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
tester-qa,0,1,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
devops-engineer,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
administrator-sistem,0,2,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
analist-date,1,1,1,0,1,0,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
inginer-telecomunicatii,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
medic,1,8,1,0,1,0,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
medic-rezident,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
asistent-medical,20,44,17,3,16,4,4,insufficient,too_few_ads|too_few_known_counties
registrator-medical,1,1,1,0,1,0,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
stomatolog,0,2,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
tehnician-dentar,0,1,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
farmacist,8,5,6,2,8,1,2,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|source_concentration|too_few_explicit_monthly
asistent-farmacie,1,0,0,1,1,1,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
farmacist-industrie,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
psiholog,2,1,2,0,2,0,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
fizioterapeut,0,2,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
kinetoterapeut,1,5,1,0,1,0,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
infirmier,4,10,2,2,4,4,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly|pay_period_sensitivity
medic-veterinar,5,6,4,1,5,1,3,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|too_few_explicit_monthly
profesor,1,4,1,0,1,0,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
invatator,1,2,1,0,1,0,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
educator,3,4,2,1,2,1,2,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|employer_concentration|too_few_explicit_monthly
profesor-universitar,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
cercetator,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
instructor-auto,0,1,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
contabil,75,57,62,13,68,10,5,advertised_interval,
auditor,3,2,3,0,3,0,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
analist-financiar,0,1,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
economist,25,8,21,4,23,2,4,insufficient,too_few_ads|too_few_known_counties
ofiter-credite,0,2,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
agent-asigurari,0,1,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
broker,4,2,4,0,4,0,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
consultant-financiar,2,1,2,0,2,0,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
avocat,1,1,1,0,1,0,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
notar,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
consilier-juridic,7,6,6,1,6,2,3,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|too_few_explicit_monthly
judecator,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
procuror,0,1,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
grefier,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
inginer,100,123,88,12,81,11,5,advertised_interval,
arhitect,2,5,2,0,2,0,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
inginer-electronist,1,0,1,0,1,0,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
inginer-auto,2,1,2,0,2,0,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
inginer-energetician,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
inginer-petrol,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
inginer-agronom,0,1,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
constructor,33,134,13,20,26,12,5,insufficient,pay_period_sensitivity
zidar,0,21,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
dulgher,16,15,6,10,15,9,3,insufficient,too_few_ads|too_few_explicit_monthly
electrician,117,122,58,59,84,19,5,advertised_interval,
instalator,60,82,32,28,44,11,5,advertised_interval,
zugrav,1,15,1,0,1,1,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
faiantar,2,6,0,2,1,2,2,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|employer_concentration|too_few_explicit_monthly|source_sensitivity
sudor,34,58,22,12,23,14,4,advertised_interval,
tamplar,18,39,4,14,15,9,4,insufficient,too_few_ads|too_few_explicit_monthly
operator-productie,92,25,13,79,46,17,6,insufficient,pay_period_sensitivity
mecanic-auto,17,77,10,7,16,5,4,insufficient,too_few_ads
tehnician-mentenanta,15,6,7,8,13,7,4,insufficient,too_few_ads|too_few_explicit_monthly
metalurgist,1,1,0,1,1,1,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
miner,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
croitor,6,11,1,5,4,3,3,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|employer_concentration|too_few_explicit_monthly|source_sensitivity
muncitor-industria-alimentara,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
cofetar,8,10,1,7,7,5,4,insufficient,too_few_ads|too_few_known_employers|too_few_explicit_monthly|source_sensitivity
sofer-tir,27,161,13,14,17,17,3,insufficient,too_few_ads
sofer-autobuz,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
taximetrist,0,2,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
mecanic-locomotiva,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
curier,11,20,7,4,6,4,5,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|employer_concentration|too_few_explicit_monthly|source_sensitivity
sofer-ridesharing,0,2,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
postas,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
pilot,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
insotitor-de-bord,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
sofer-ambulanta,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
logistician,12,13,9,3,9,4,4,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|too_few_explicit_monthly
vanzator,128,220,28,100,64,22,6,advertised_interval,
casier,50,65,13,37,26,10,4,advertised_interval,
manager-magazin,11,11,10,1,6,1,3,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|employer_concentration|source_concentration|source_sensitivity
agent-vanzari,119,213,100,19,104,14,4,advertised_interval,
bucatar,35,94,16,19,24,15,5,advertised_interval,
chelner,26,55,12,14,19,9,4,insufficient,too_few_ads
barman,10,23,6,4,8,5,3,insufficient,too_few_ads|too_few_known_employers|too_few_explicit_monthly
receptioner-hotel,3,10,1,2,2,2,3,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|employer_concentration|too_few_explicit_monthly
agent-turism,1,4,1,0,1,0,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
functionar-public,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
politist,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
jandarm,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
pompier,1,3,1,0,1,0,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
militar,2,2,1,1,1,1,2,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|employer_concentration|too_few_explicit_monthly
jurnalist,0,1,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
editor,1,4,1,0,1,0,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
cameraman,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
regizor,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
designer-grafic,5,2,3,2,4,2,3,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|too_few_explicit_monthly|source_sensitivity
specialist-marketing,2,9,2,0,2,0,2,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|employer_concentration|too_few_explicit_monthly
traducator,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
actor,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
muzician,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
fermier,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
silvicultor,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
electrician-centrala,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
operator-statie-apa,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
operator-salubritate,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
agent-paza,37,25,2,35,10,13,3,insufficient,employer_concentration|too_few_explicit_monthly|pay_period_sensitivity
agent-curatenie,46,65,15,31,28,13,5,advertised_interval,
operator-call-center,23,29,21,2,22,3,5,insufficient,too_few_ads|too_few_known_counties|source_sensitivity
secretar,37,33,24,13,28,8,5,advertised_interval,
specialist-resurse-umane,9,6,9,0,8,1,2,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|source_concentration|too_few_explicit_monthly|source_sensitivity
agent-imobiliar,1,4,1,0,1,0,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
administrator-bloc,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
frizer,2,10,1,1,1,1,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
cosmetician,7,4,6,1,6,1,2,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|employer_concentration|too_few_explicit_monthly|source_sensitivity
bibliotecar,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
antrenor-sportiv,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
preot,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
ingrijitor-batrani,1,1,1,0,1,1,1,insufficient,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|employer_concentration|source_concentration|too_few_explicit_monthly
asistent-social,0,0,0,0,0,0,0,no_verified_ads,too_few_ads|too_few_known_employers|too_few_known_counties|single_source|too_few_explicit_monthly
