================================================================================
   BACKUP BAZĂ SALARIALĂ — 132 MESERII SALARIILE.RO (6 SEPTEMBRIE 2026)
================================================================================

[#  1] Pilot                      |  18500 lei net | external-reported | ISCO: specialisti  | CAEN: 51  | Sursa: Ghiduri salariale aviație civilă / rapoarte industrie (2025–2026)
[#  2] Notar                      |  16500 lei net | external-reported | ISCO: specialisti  | CAEN: 69  | Sursa: UNNPR / estimare fiscală venituri liber-profesioniste (2025–2026)
[#  3] Inginer DevOps             |  14200 lei net | external-reported | ISCO: specialisti  | CAEN: 62  | Sursa: Hays România, Salary Guide 2026 / piață IT (2025–2026)
[#  4] Programator                |  13474 lei net | external-reported | ISCO: specialisti  | CAEN: 62  | Sursa: eJobs Salario, Hays România, etalon INS CAEN 62 (2025–2026)
[#  5] Inginer petrolist          |  12747 lei net | sector-context    | ISCO: specialisti  | CAEN: 06  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[#  6] Web developer              |  12500 lei net | external-reported | ISCO: specialisti  | CAEN: 62  | Sursa: eJobs, Review & Trends 2026, p. 53 (2025)
[#  7] Consultant în management   |  12124 lei net | sector-context    | ISCO: specialisti  | CAEN: 70  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[#  8] Avocat                     |  12000 lei net | external-reported | ISCO: specialisti  | CAEN: 69  | Sursa: eJobs, Review & Trends 2026, p. 53 (2025)
[#  9] Inginer electronist        |  11158 lei net | sector-context    | ISCO: specialisti  | CAEN: 26  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 10] Judecător                  |  10091 lei net | public-grid       | ISCO: specialisti  | CAEN: P   | Sursa: Legea-cadru nr. 153/2017 privind salarizarea personalului plătit din fonduri publice, Anexa nr. V (2022)
[# 11] Operator rafinărie         |  10054 lei net | sector-context    | ISCO: operatori    | CAEN: 19  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 12] Inginer auto               |   9815 lei net | sector-context    | ISCO: specialisti  | CAEN: 29  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 13] Inginer telecomunicații    |   9653 lei net | sector-context    | ISCO: specialisti  | CAEN: 61  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 14] Analist de date            |   9644 lei net | sector-context    | ISCO: specialisti  | CAEN: 63  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 15] Procuror                   |   9611 lei net | public-grid       | ISCO: specialisti  | CAEN: P   | Sursa: Legea-cadru nr. 153/2017 privind salarizarea personalului plătit din fonduri publice, Anexa nr. V (2022)
[# 16] Inginer energetician       |   9522 lei net | sector-context    | ISCO: specialisti  | CAEN: D   | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 17] Șofer TIR                  |   9500 lei net | external-reported | ISCO: operatori    | CAEN: 49  | Sursa: UNTRR / studii transport rutier internațional (2025–2026)
[# 18] Consultant financiar       |   9346 lei net | sector-context    | ISCO: specialisti  | CAEN: 66  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 19] Auditor financiar          |   8900 lei net | external-reported | ISCO: specialisti  | CAEN: 69  | Sursa: Hays România, Salary Guide 2026, Finanțe & Contabilitate (2025–2026)
